bookingStatus,status1Day,status1Month,status1Week,status2Days,labels,travelClass
21,28.0,12.0,14.0,15.0,0,3
14,63.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
39,41.1812942532521,40.13770644335892,42.39598732840549,18.0,0,3
11,46.0,8.0,42.39598732840549,41.076940084015035,0,3
20,41.1812942532521,40.13770644335892,7.0,41.076940084015035,0,3
12,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
5,17.0,2.0,2.0,41.076940084015035,0,1
1,17.0,40.13770644335892,1.0,1.0,0,3
4,19.0,40.13770644335892,4.0,41.076940084015035,0,1
24,55.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
13,2.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
98,14.0,40.13770644335892,42.39598732840549,41.076940084015035,0,5
15,41.1812942532521,40.13770644335892,42.39598732840549,15.0,0,3
13,41.1812942532521,40.13770644335892,42.39598732840549,4.0,0,3
13,6.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
3,41.1812942532521,40.13770644335892,42.39598732840549,1.0,0,1
8,7.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
11,41.1812942532521,40.13770644335892,7.0,41.076940084015035,0,1
8,4.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
2,41.1812942532521,40.13770644335892,42.39598732840549,2.0,0,3
2,41.1812942532521,40.13770644335892,42.39598732840549,2.0,0,1
33,5.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
32,4.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
5,41.1812942532521,40.13770644335892,5.0,41.076940084015035,0,1
8,47.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
11,41.1812942532521,4.0,42.39598732840549,41.076940084015035,0,3
7,69.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
11,30.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
8,29.0,7.0,42.39598732840549,41.076940084015035,0,3
1,49.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
10,13.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
10,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,1
5,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
10,41.1812942532521,40.13770644335892,6.0,7.0,0,3
14,41.1812942532521,40.13770644335892,10.0,11.0,0,3
1,41.1812942532521,40.13770644335892,42.39598732840549,1.0,0,3
357,139.0,40.13770644335892,42.39598732840549,41.076940084015035,0,5
129,41.1812942532521,41.0,42.39598732840549,41.076940084015035,0,5
286,63.0,47.0,42.39598732840549,41.076940084015035,0,3
25,35.0,26.0,42.39598732840549,41.076940084015035,0,1
286,63.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
291,12.0,65.0,42.39598732840549,41.076940084015035,0,3
2,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
315,25.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
24,12.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
152,72.0,11.0,15.0,41.076940084015035,0,3
195,127.0,140.0,42.39598732840549,41.076940084015035,0,5
258,41.1812942532521,40.13770644335892,24.0,41.076940084015035,0,3
166,21.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
297,41.1812942532521,40.13770644335892,84.0,41.076940084015035,0,3
51,41.1812942532521,39.0,42.39598732840549,41.076940084015035,0,3
225,41.1812942532521,40.13770644335892,65.0,41.076940084015035,0,3
276,6.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
41,3.0,40.13770644335892,42.39598732840549,34.0,0,5
87,41.0,62.0,42.39598732840549,41.076940084015035,0,3
83,2.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
